id,tanggal,DOY,stasiun,pengamat,waktu_D,deklinasi,waktu_I,inklinasi,total,H,Z,X,Y
1,2023-11-08,312,JYP,PUR,0:17:00,2.94694,0:30:00,-21.79875,39332,36519.52,-14605.84,36471.23,1877.51
2,2023-11-08,312,JYP,PUR,0:43:00,2.96556,0:52:00,-21.90007,39334,36495.49,-14671.15,36446.62,1888.12
3,2023-11-10,314,JYP,BER,0:19:00,2.96451,0:36:00,-21.98847,39326.58,36465.93,-14724.66,36417.13,1885.92
4,2023-11-10,314,JYP,BER,0:47:00,2.97181,0:56:00,-22.06799,39332.25,36450.72,-14777.38,36401.7,1889.77
5,2023-11-15,319,JYP,BER,0:19:00,3.00222,0:25:00,-22.01104,39497.25,36618.36,-14802.99,36568.1,1917.88
6,2023-11-15,319,JYP,BER,0:34:00,3.00764,0:40:00,-22.0191,39501.3,36620.03,-14809.65,36569.59,1921.42
7,2023-11-17,321,JYP,LDY,1:04:00,3.1416,1:12:00,-21.92965,39328.85,36483.14,-14688.06,36428.31,1999.41
8,2023-11-17,321,JYP,LDY,1:21:00,2.97972,1:33:00,-22.01292,39332.38,36465.02,-14742.39,36415.72,1895.54
9,2023-11-22,326,JYP,ALF,1:06:00,3.02278,1:30:00,-22.00389,39318.53,36454.5,-14731.45,36403.78,1922.35
10,2023-11-22,326,JYP,ALF,1:49:00,3.01,1:56:00,-22.0027,39303.25,36440.64,-14724.97,36390.37,1913.51
11,2023-11-24,328,JYP,RMS,0:14:00,2.96417,0:22:00,-22.01667,39327.63,36459.65,-14742.99,36410.87,1885.38
12,2023-11-24,328,JYP,PRZ,0:29:00,2.97229,0:35:00,-22.0185,39328.8,36460.27,-14744.6,36411.22,1890.57
13,2023-11-29,333,JYP,PUR,0:29:00,2.98035,0:39:00,-22.00208,39321,36457.26,-14731.23,36407.95,1895.54
14,2023-11-29,333,JYP,PUR,0:48:00,2.97639,0:55:00,-21.99194,39325.18,36463.74,-14726.34,36414.55,1893.36
15,2023-12-01,335,JYP,ALF,0:14:00,2.95528,0:25:00,-22.03813,39377.25,36500.13,-14775.27,36451.58,1881.82
16,2023-12-01,335,JYP,ALF,0:47:00,2.95729,1:04:00,-22.00889,39377.25,36507.66,-14756.64,36459.04,1883.49
17,2023-12-06,340,JYP,RMS,1:13:00,2.98875,1:30:00,-22.01083,39323.83,36457.63,-14737.86,36408.04,1900.9
18,2023-12-06,340,JYP,RMS,1:54:00,3,2:09:00,-22.0341,39331.13,36458.41,-14755.4,36408.44,1908.09
19,2023-12-08,342,JYP,PUR,0:25:00,3.01715,0:36:00,-22.01146,39340.38,36472.81,-14744.46,36422.25,1919.74
20,2023-12-08,342,JYP,PUR,0:49:00,3.0266,0:58:00,-22.02306,39341.8,36471.15,-14752.37,36420.28,1925.66
21,2023-12-13,347,JYP,PUR,0:11:00,2.97826,0:22:00,-21.98076,39338.2,36478.69,-14724.1,36429.42,1895.33
22,2023-12-13,347,JYP,PUR,0:33:00,2.9959,0:44:00,-21.97458,39342.98,36484.71,-14721.95,36434.84,1906.86
23,2023-12-15,349,JYP,BER,0:22:00,2.94715,0:30:00,-22.03181,39318.2,36447.02,-14749.09,36398.81,1873.92
24,2023-12-15,349,JYP,RMS,0:48:00,2.94368,1:08:00,-22.02132,39322.15,36453.38,-14743.9,36405.28,1872.04
25,2023-12-20,354,JYP,ALF,0:46:00,2.99396,1:14:00,-22.02521,39338.18,36467.24,-14752.39,36417.46,1904.71
26,2023-12-20,354,JYP,ALF,1:35:00,2.95618,1:47:00,-22.015,39338.18,36469.87,-14745.89,36421.33,1880.83
27,2023-12-23,357,JYP,PUR,0:21:00,3.03632,0:32:00,-22.00424,39352.98,36486.35,-14744.58,36435.13,1932.64
